probability_bucket,predictions,mean_predicted_p_up,actual_up_rate,absolute_calibration_error
"(-0.001, 0.1]",104,0.06677749588215566,0.028846153846153848,0.03793134203600181
"(0.1, 0.2]",94,0.15789295017546093,0.07446808510638298,0.08342486506907795
"(0.2, 0.3]",147,0.2526064697001666,0.2108843537414966,0.04172211595866998
"(0.3, 0.4]",166,0.3560824957497929,0.3132530120481928,0.04282948370160011
"(0.4, 0.5]",75,0.4392987241445865,0.4,0.03929872414458646
"(0.5, 0.6]",86,0.5545638134433212,0.5116279069767442,0.04293590646657697
"(0.6, 0.7]",188,0.6406936575459733,0.7393617021276596,0.09866804458168632
"(0.7, 0.8]",122,0.7499273257024643,0.8524590163934426,0.10253169069097823
"(0.8, 0.9]",90,0.844003806494224,0.9111111111111111,0.06710730461688708
"(0.9, 1.0]",80,0.9378663869898107,1.0,0.06213361301018927
