elapsed_seconds,distance_bin_lower_bps,distance_bin_upper_bps,up_count,sample_count,p_up_smoothed
60,-165.0,-164.0,0,1,0.47619047619047616
60,-140.0,-139.0,0,1,0.47619047619047616
60,-132.0,-131.0,1,2,0.5
60,-124.0,-123.0,1,1,0.5238095238095238
60,-120.0,-119.0,0,1,0.47619047619047616
60,-112.0,-111.0,0,1,0.47619047619047616
60,-100.0,-99.0,0,1,0.47619047619047616
60,-99.0,-98.0,0,1,0.47619047619047616
60,-98.0,-97.0,0,1,0.47619047619047616
60,-94.0,-93.0,0,1,0.47619047619047616
60,-87.0,-86.0,0,2,0.45454545454545453
60,-82.0,-81.0,0,1,0.47619047619047616
60,-81.0,-80.0,0,1,0.47619047619047616
60,-79.0,-78.0,0,1,0.47619047619047616
60,-76.0,-75.0,0,1,0.47619047619047616
60,-68.0,-67.0,1,3,0.4782608695652174
60,-65.0,-64.0,0,1,0.47619047619047616
60,-64.0,-63.0,0,2,0.45454545454545453
60,-62.0,-61.0,1,1,0.5238095238095238
60,-61.0,-60.0,0,2,0.45454545454545453
60,-60.0,-59.0,0,1,0.47619047619047616
60,-59.0,-58.0,0,2,0.45454545454545453
60,-56.0,-55.0,0,2,0.45454545454545453
60,-54.0,-53.0,0,1,0.47619047619047616
60,-53.0,-52.0,0,3,0.43478260869565216
60,-52.0,-51.0,1,2,0.5
60,-51.0,-50.0,1,2,0.5
60,-50.0,-49.0,0,2,0.45454545454545453
60,-49.0,-48.0,0,1,0.47619047619047616
60,-48.0,-47.0,0,3,0.43478260869565216
60,-47.0,-46.0,1,5,0.44
60,-46.0,-45.0,0,3,0.43478260869565216
60,-45.0,-44.0,0,3,0.43478260869565216
60,-44.0,-43.0,0,4,0.4166666666666667
60,-43.0,-42.0,1,13,0.3333333333333333
60,-42.0,-41.0,1,3,0.4782608695652174
60,-41.0,-40.0,1,6,0.4230769230769231
60,-40.0,-39.0,2,11,0.3870967741935484
60,-39.0,-38.0,0,9,0.3448275862068966
60,-38.0,-37.0,2,14,0.35294117647058826
60,-37.0,-36.0,1,8,0.39285714285714285
60,-36.0,-35.0,2,14,0.35294117647058826
60,-35.0,-34.0,1,12,0.34375
60,-34.0,-33.0,2,13,0.36363636363636365
60,-33.0,-32.0,2,16,0.3333333333333333
60,-32.0,-31.0,3,21,0.3170731707317073
60,-31.0,-30.0,2,20,0.3
60,-30.0,-29.0,8,29,0.3673469387755102
60,-29.0,-28.0,2,28,0.25
60,-28.0,-27.0,8,38,0.3103448275862069
60,-27.0,-26.0,6,40,0.26666666666666666
60,-26.0,-25.0,5,53,0.2054794520547945
60,-25.0,-24.0,11,57,0.2727272727272727
60,-24.0,-23.0,11,61,0.25925925925925924
60,-23.0,-22.0,11,78,0.21428571428571427
60,-22.0,-21.0,10,83,0.1941747572815534
60,-21.0,-20.0,27,120,0.2642857142857143
60,-20.0,-19.0,31,149,0.24260355029585798
60,-19.0,-18.0,26,157,0.2033898305084746
60,-18.0,-17.0,30,212,0.1724137931034483
60,-17.0,-16.0,54,265,0.22456140350877193
60,-16.0,-15.0,57,357,0.17771883289124668
60,-15.0,-14.0,64,332,0.21022727272727273
60,-14.0,-13.0,78,411,0.20417633410672853
60,-13.0,-12.0,105,548,0.20246478873239437
60,-12.0,-11.0,131,695,0.1972027972027972
60,-11.0,-10.0,169,851,0.20551090700344432
60,-10.0,-9.0,266,1135,0.23896103896103896
60,-9.0,-8.0,353,1399,0.2558139534883721
60,-8.0,-7.0,454,1872,0.2452431289640592
60,-7.0,-6.0,623,2336,0.26867572156196945
60,-6.0,-5.0,862,3182,0.2723297938788257
60,-5.0,-4.0,1242,4192,0.2972459639126306
60,-4.0,-3.0,1730,5387,0.321805067505086
60,-3.0,-2.0,2530,7007,0.36146292870357194
60,-2.0,-1.0,3392,8649,0.3924328065520821
60,-1.0,0.0,4900,10911,0.44918122770103375
60,0.0,1.0,7524,13825,0.5441675695196821
60,1.0,2.0,5233,8655,0.6043804034582133
60,2.0,3.0,4631,7160,0.6463788300835654
60,3.0,4.0,3697,5465,0.6758432087511395
60,4.0,5.0,2970,4165,0.7120669056152927
60,5.0,6.0,2275,3214,0.7065553494124923
60,6.0,7.0,1810,2410,0.7489711934156379
60,7.0,8.0,1373,1803,0.7586396050466264
60,8.0,9.0,1083,1410,0.7643356643356644
60,9.0,10.0,844,1088,0.7707581227436823
60,10.0,11.0,653,862,0.7517006802721088
60,11.0,12.0,510,662,0.7624633431085044
60,12.0,13.0,417,518,0.7936802973977695
60,13.0,14.0,360,454,0.7805907172995781
60,14.0,15.0,300,362,0.8115183246073299
60,15.0,16.0,237,278,0.8288590604026845
60,16.0,17.0,162,216,0.7288135593220338
60,17.0,18.0,162,196,0.7962962962962963
60,18.0,19.0,129,149,0.8224852071005917
60,19.0,20.0,121,136,0.8397435897435898
60,20.0,21.0,114,130,0.8266666666666667
60,21.0,22.0,85,95,0.8260869565217391
60,22.0,23.0,81,101,0.7520661157024794
60,23.0,24.0,59,73,0.7419354838709677
60,24.0,25.0,45,56,0.7236842105263158
60,25.0,26.0,44,55,0.72
60,26.0,27.0,46,58,0.717948717948718
60,27.0,28.0,38,44,0.75
60,28.0,29.0,18,20,0.7
60,29.0,30.0,26,29,0.7346938775510204
60,30.0,31.0,26,28,0.75
60,31.0,32.0,20,25,0.6666666666666666
60,32.0,33.0,25,28,0.7291666666666666
60,33.0,34.0,15,18,0.6578947368421053
60,34.0,35.0,15,19,0.6410256410256411
60,35.0,36.0,13,14,0.6764705882352942
60,36.0,37.0,15,19,0.6410256410256411
60,37.0,38.0,13,17,0.6216216216216216
60,38.0,39.0,13,13,0.696969696969697
60,39.0,40.0,12,12,0.6875
60,40.0,41.0,7,8,0.6071428571428571
60,41.0,42.0,2,2,0.5454545454545454
60,42.0,43.0,7,7,0.6296296296296297
60,43.0,44.0,6,7,0.5925925925925926
60,44.0,45.0,3,4,0.5416666666666666
60,45.0,46.0,4,4,0.5833333333333334
60,46.0,47.0,2,3,0.5217391304347826
60,47.0,48.0,0,1,0.47619047619047616
60,48.0,49.0,2,2,0.5454545454545454
60,49.0,50.0,2,2,0.5454545454545454
60,50.0,51.0,3,3,0.5652173913043478
60,51.0,52.0,1,1,0.5238095238095238
60,52.0,53.0,3,3,0.5652173913043478
60,53.0,54.0,3,3,0.5652173913043478
60,54.0,55.0,3,3,0.5652173913043478
60,55.0,56.0,0,2,0.45454545454545453
60,56.0,57.0,2,2,0.5454545454545454
60,58.0,59.0,4,4,0.5833333333333334
60,59.0,60.0,1,1,0.5238095238095238
60,61.0,62.0,2,2,0.5454545454545454
60,62.0,63.0,1,1,0.5238095238095238
60,63.0,64.0,2,2,0.5454545454545454
60,64.0,65.0,3,3,0.5652173913043478
60,65.0,66.0,1,1,0.5238095238095238
60,67.0,68.0,3,3,0.5652173913043478
60,69.0,70.0,1,1,0.5238095238095238
60,70.0,71.0,1,1,0.5238095238095238
60,71.0,72.0,1,1,0.5238095238095238
60,74.0,75.0,1,1,0.5238095238095238
60,77.0,78.0,1,1,0.5238095238095238
60,80.0,81.0,1,1,0.5238095238095238
60,81.0,82.0,1,1,0.5238095238095238
60,85.0,86.0,1,1,0.5238095238095238
60,86.0,87.0,2,2,0.5454545454545454
60,88.0,89.0,2,2,0.5454545454545454
60,89.0,90.0,2,2,0.5454545454545454
60,90.0,91.0,1,1,0.5238095238095238
60,91.0,92.0,1,1,0.5238095238095238
60,94.0,95.0,1,1,0.5238095238095238
60,97.0,98.0,1,1,0.5238095238095238
60,103.0,104.0,1,1,0.5238095238095238
60,105.0,106.0,0,1,0.47619047619047616
60,106.0,107.0,1,1,0.5238095238095238
60,117.0,118.0,1,1,0.5238095238095238
120,-291.0,-290.0,0,1,0.47619047619047616
120,-218.0,-217.0,0,1,0.47619047619047616
